ISC 71-80,  Badadf,  Bgwkys,  Dxgxa,  Fuxtax,  Gfpumc,  Jhhm,  Jpow,  Kcax,  Kdkf,  Knrjuc,  Kskwi,  Kxxe,  Lwuzf,  Mvki,  Nepk,  Pdds,  Pndyf,  Qiqzn,  Snwid,  Sved,  Ucjm,  Udbgt,  Ukyq,  Wjrv,  Ynaysn,  Zfxe,  Zjmch,  Bmxhcu,  Sion,  Yrqqw,  Lzihpl,  Chienn,  Vugl,  Imkp,  Xxabu,  Quha,  Lxjh,  Vqahhq,  Dzct,  Rkfn,  Puycrw,  Zsvsib,  Wpruf,  Whuhqu,  Asmp,  Omoxmm,  Fwrtu,  Albfdc,  Ofnqni,  Mxkah,  Vcfpi,  Dwhr,  Vpnhw,  Fgmwbz,  Ldlszf
 Ucjm, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32.03125, 30.3459821428571, 27.4330357142857, 29.9330357142857, 30.1339285714286, 36.6517857142857, 31.7522321428571, 30.6919642857143, 29.0513392857143, 26.3616071428571, 32.5334821428571, 31.7299107142857, 36.1049107142857, 32.8013392857143, 27.3214285714286, 26.3950892857143, 38.5825892857143, 23.9732142857143, 27.6116071428571, 30.5245535714286, 25.0334821428571, 30.5803571428571, 32.734375, 31.4955357142857, 34.2633928571429, 27.8013392857143, 33.0691964285714, 28.0580357142857, 28.4933035714286, 28.7388392857143, 33.9620535714286, 33.3370535714286, 34.1071428571428, 25.7366071428571
 Udbgt, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25.4464285714286, 26.5736607142857, 22.7790178571429, 30.5580357142857, 31.40625, 21.9754464285714, 23.4151785714286, 33.3705357142857, 25.7924107142857, 30.7366071428571, 21.2834821428571, 22.7566964285714, 26.4732142857143, 18.6495535714286, 20.78125, 25.8370535714286, 18.6160714285714, 23.9397321428571, 25.4575892857143, 17.8571428571429, 35.5245535714286, 25.2232142857143, 21.796875, 26.0379464285714, 27.5669642857143, 23.359375, 32.9799107142857, 29.0066964285714, 33.28125, 24.3861607142857, 19.3303571428571, 30.0892857142857, 26.1160714285714
 Ukyq, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26.4174107142857, 25.1674107142857, 18.1696428571429, 21.1383928571429, 21.3616071428571, 30.2455357142857, 21.015625, 20.1004464285714, 20.78125, 24.5982142857143, 22.6450892857143, 22.3772321428571, 22.0089285714286, 28.75, 21.8303571428571, 26.5736607142857, 20.5022321428571, 29.1517857142857, 28.0245535714286, 28.6941964285714, 29.2410714285714, 23.5491071428571, 23.6941964285714, 25.625, 29.21875, 24.0401785714286, 28.90625, 22.7678571428571, 27.6116071428571, 22.9017857142857, 34.0513392857143, 36.6629464285714
 Wjrv, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23.1026785714286, 35.1004464285714, 30.5580357142857, 24.5982142857143, 28.5491071428571, 25.0446428571429, 32.9017857142857, 22.65625, 30.4241071428571, 27.7008928571429, 32.2321428571429, 28.8504464285714, 26.6629464285714, 28.0691964285714, 25.5357142857143, 31.3616071428571, 28.1361607142857, 26.4620535714286, 33.6607142857143, 25.078125, 33.3482142857143, 27.3325892857143, 24.0625, 28.5825892857143, 29.2633928571429, 25.0223214285714, 32.03125, 30.9375, 26.9642857142857, 33.5379464285714, 47.2209821428571
 Ynaysn, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26.4620535714286, 16.0602678571429, 22.5334821428572, 26.5178571428571, 33.3147321428571, 20.546875, 27.0647321428571, 22.3214285714286, 28.1138392857143, 18.4486607142857, 25.9933035714286, 24.1183035714286, 27.9352678571429, 20.8705357142857, 21.2946428571429, 24.0736607142857, 19.5535714285714, 22.8348214285714, 25.4241071428571, 14.9665178571429, 20.5691964285714, 23.5044642857143, 32.6785714285714, 18.2589285714286, 19.7209821428571, 23.7946428571429, 22.8013392857143, 25.6026785714286, 26.6852678571429, 29.9553571428571
 Zfxe, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41.7633928571428, 27.8125, 25.4910714285714, 27.2879464285714, 28.5714285714286, 30.1785714285714, 32.6004464285714, 30.2790178571429, 26.8638392857143, 23.4709821428571, 24.7991071428571, 21.5290178571429, 25.0446428571429, 23.3370535714286, 27.5111607142857, 27.8794642857143, 31.7857142857143, 21.4174107142857, 28.0580357142857, 36.4955357142857, 24.9776785714286, 33.8392857142857, 27.2879464285714, 17.7790178571428, 23.7834821428572, 29.2633928571428, 27.6897321428572, 29.2857142857143, 21.875
 Zjmch, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33.1919642857143, 20.9598214285714, 29.9330357142857, 30.78125, 32.2321428571429, 29.7767857142857, 29.84375, 34.53125, 26.2946428571429, 25.9375, 26.8526785714286, 23.3928571428571, 27.6004464285714, 22.5, 24.6540178571429, 22.5669642857143, 27.1875, 28.4821428571429, 26.6741071428571, 23.9732142857143, 30.2566964285714, 30.2120535714286, 23.2924107142857, 29.1852678571429, 30.5133928571429, 28.7723214285714, 23.1696428571429, 33.0022321428571
 Bmxhcu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24.3973214285714, 24.3973214285714, 28.7946428571429, 35.2008928571429, 29.5200892857143, 19.1964285714286, 25.0669642857143, 29.6540178571429, 26.4174107142857, 30.9375, 26.015625, 36.3616071428571, 17.8459821428572, 30.4241071428571, 26.8638392857143, 32.8459821428572, 34.6428571428571, 31.6294642857143, 31.5736607142857, 23.4598214285714, 23.3482142857143, 28.5825892857143, 28.1026785714286, 31.3504464285714, 25.2790178571429, 28.8058035714285, 26.8191964285714
 Sion, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21.953125, 25.8035714285714, 38.359375, 24.2075892857143, 33.3370535714286, 24.1294642857143, 29.9441964285714, 26.8415178571429, 27.5111607142857, 33.828125, 30.7924107142857, 21.5625, 26.1830357142857, 22.2321428571428, 31.0714285714285, 28.0691964285714, 30.7589285714286, 27.7120535714286, 24.3526785714286, 21.9419642857143, 17.4776785714286, 31.3727678571429, 22.9464285714286, 21.0044642857143, 20.1339285714286, 25.4910714285714
 Yrqqw, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23.1026785714286, 31.40625, 17.5334821428571, 25.6584821428571, 31.3169642857143, 21.015625, 32.9017857142857, 22.2321428571429, 22.9575892857143, 26.6741071428571, 27.1316964285714, 28.6272321428571, 22.1540178571429, 29.6986607142857, 20.8147321428571, 32.0535714285714, 20.2678571428571, 25.4352678571429, 26.8191964285714, 24.5647321428571, 31.8973214285714, 26.0602678571429, 27.3325892857143, 26.09375, 26.8526785714286
