ISC 80, Badadf, Bgwkys, Dxgxa, Fuxtax, Gfpumc, Jhhm, Jpow, Kcax, Kdkf, Knrjuc, Kskwi, Kxxe, Lwuzf, Mvki, Nepk, Pdds, Pndyf, Qiqzn, Snwid, Sved, Ucjm, Udbgt, Ukyq, Wjrv, Ynaysn, Zfxe, Zjmch, Bmxhcu, Sion, Yrqqw, Lzihpl, Chienn, Vugl, Imkp, Xxabu, Quha, Lxjh, Vqahhq, Dzct, Rkfn, Puycrw, Zsvsib, Wpruf, Whuhqu, Asmp, Omoxmm, Fwrtu, Albfdc, Ofnqni, Mxkah, Vcfpi, Dwhr, Vpnhw, Fgmwbz, Ldlszf
Kskwi, 32.4776785714286, 33.8169642857143, 38.6160714285714, 29.6875, 14.6205357142857, 35.4910714285714, 59.1517857142857, 14.0625, 0.558035714285714, 28.7946428571429, 0, 47.7678571428571, 23.1026785714286, 11.3839285714286, 27.2321428571429, 39.5089285714286, 20.5357142857143, 13.3928571428571, 22.4330357142857, 16.6294642857143, 60.9375, 47.4330357142857, 22.0982142857143, 60.7142857142857, 38.0580357142857, 16.7410714285714, 35.3794642857143, 23.8839285714286, 53.7946428571429, 43.9732142857143, 6.13839285714286, 32.1428571428571, 27.4553571428571, 33.0357142857143, 10.4910714285714, 30.46875, 34.8214285714286, 20.6473214285714, 8.92857142857143, 41.9642857142857, 17.1875, 42.6339285714286, 28.3482142857143, 20.0892857142857, 42.1875, 58.0357142857143, 8.48214285714286, 55.3571428571429, 18.75, 62.2767857142857, 69.8660714285714, 24.7767857142857, 53.7946428571429, 23.6607142857143, 19.1964285714286
Kxxe, 38.5044642857143, 20.3125, 20.3125, 38.3928571428571, 41.0714285714286, 31.6964285714286, 54.0178571428571, 26.8973214285714, 8.03571428571428, 9.82142857142857, 47.7678571428571, 0, 21.875, 2.67857142857143, 34.5982142857143, 7.14285714285714, 7.14285714285714, 11.4955357142857, 37.0535714285714, 3.125, 39.5089285714286, 39.3973214285714, 12.5, 28.125, 19.6428571428571, 14.2857142857143, 16.0714285714286, 31.6964285714286, 25.8928571428571, 21.4285714285714, 29.4642857142857, 33.2589285714286, 26.7857142857143, 11.1607142857143, 23.2142857142857, 15.1785714285714, 31.25, 13.7276785714286, 17.8571428571429, 37.0535714285714, 9.82142857142857, 23.6607142857143, 30.8035714285714, 17.4107142857143, 10.7142857142857, 10.2678571428571, 23.2142857142857, 45.0892857142857, 37.0535714285714, 15.1785714285714, 13.3928571428571, 29.0178571428571, 64.7321428571428, 44.6428571428571, 27.7901785714286
Lwuzf, 16.0714285714286, 4.6875, 13.3928571428571, 9.375, 18.0803571428571, 26.7857142857143, 60.9375, 45.9821428571429, 12.9464285714286, 33.2589285714286, 23.1026785714286, 21.875, 0, 20.5357142857143, 17.8571428571429, 8.48214285714286, 4.24107142857143, 0.446428571428571, 27.1205357142857, 1.33928571428571, 64.1741071428571, 16.8526785714286, 21.2053571428571, 14.5089285714286, 18.75, 2.23214285714286, 6.91964285714286, 15.1785714285714, 16.5178571428571, 5.80357142857143, 39.0625, 15.4017857142857, 48.6607142857143, 14.5089285714286, 8.25892857142857, 8.25892857142857, 12.2767857142857, 13.6160714285714, 5.80357142857143, 14.2857142857143, 12.0535714285714, 30.3571428571429, 59.375, 36.6071428571429, 13.8392857142857, 46.6517857142857, 39.9553571428571, 12.7232142857143, 11.3839285714286, 20.0892857142857, 22.3214285714286, 26.7857142857143, 29.0178571428571, 32.1428571428571, 6.47321428571428
Mvki, 17.8571428571429, 8.48214285714286, 38.3928571428571, 0.446428571428571, 37.5, 0.223214285714286, 45.9821428571429, 31.25, 8.03571428571428, 1.78571428571429, 11.3839285714286, 2.67857142857143, 20.5357142857143, 0, 32.7008928571429, 13.3928571428571, 24.3303571428571, 13.6160714285714, 8.81696428571428, 10.4910714285714, 32.5892857142857, 3.125, 22.0982142857143, 32.5892857142857, 7.14285714285714, 14.7321428571429, 8.48214285714286, 26.7857142857143, 31.9196428571429, 15.1785714285714, 49.5535714285714, 31.25, 4.6875, 15.625, 20.5357142857143, 46.4285714285714, 18.0803571428571, 49.5535714285714, 10.9375, 6.25, 24.5535714285714, 24.7767857142857, 26.7857142857143, 35.2678571428571, 31.9196428571429, 4.46428571428571, 0, 2.00892857142857, 10.4910714285714, 8.48214285714286, 15.625, 7.58928571428571, 16.5178571428571, 11.6071428571429, 25.2232142857143
Nepk, 39.9553571428571, 8.48214285714286, 31.9196428571429, 60.2678571428571, 34.8214285714286, 0.669642857142857, 39.2857142857143, 34.8214285714286, 21.875, 0, 27.2321428571429, 34.5982142857143, 17.8571428571429, 32.7008928571429, 0, 10.2678571428571, 1.45089285714286, 9.375, 21.7633928571429, 1.67410714285714, 31.4732142857143, 1.33928571428571, 7.25446428571428, 29.4642857142857, 21.4285714285714, 23.2142857142857, 3.79464285714286, 38.3928571428571, 28.4598214285714, 17.4107142857143, 45.7589285714286, 29.9107142857143, 21.5401785714286, 32.1428571428571, 15.8482142857143, 28.7946428571429, 13.7276785714286, 35.2678571428571, 16.6294642857143, 40.625, 29.0178571428571, 7.03125, 6.69642857142857, 11.6071428571429, 34.8214285714286, 19.1964285714286, 19.1964285714286, 9.04017857142857, 36.9419642857143, 0, 24.1071428571429, 20.5357142857143, 27.4553571428571, 25, 17.4107142857143
Pdds, 15.5133928571429, 14.84375, 28.5714285714286, 6.69642857142857, 0, 16.0714285714286, 15.8482142857143, 30.9151785714286, 7.47767857142857, 11.6071428571429, 39.5089285714286, 7.14285714285714, 8.48214285714286, 13.3928571428571, 10.2678571428571, 0, 6.69642857142857, 3.57142857142857, 13.6160714285714, 22.5446428571429, 13.5044642857143, 19.6428571428571, 3.57142857142857, 37.7232142857143, 6.25, 8.59375, 16.5178571428571, 6.02678571428571, 23.6607142857143, 18.75, 3.57142857142857, 14.5089285714286, 15.4017857142857, 2.23214285714286, 7.03125, 24.7767857142857, 21.6517857142857, 22.7678571428571, 19.6428571428571, 6.25, 4.46428571428571, 23.6607142857143, 5.58035714285714, 19.4196428571429, 27.0089285714286, 37.2767857142857, 7.47767857142857, 12.2767857142857, 16.0714285714286, 25, 31.4732142857143, 7.8125, 18.0803571428571, 5.91517857142857, 36.1607142857143
Pndyf, 28.125, 14.2857142857143, 42.4107142857143, 4.46428571428571, 4.6875, 8.70535714285714, 9.15178571428571, 29.2410714285714, 22.0982142857143, 2.23214285714286, 20.5357142857143, 7.14285714285714, 4.24107142857143, 24.3303571428571, 1.45089285714286, 6.69642857142857, 0, 0.446428571428571, 30.46875, 36.6071428571429, 33.2589285714286, 10.2678571428571, 20.9821428571429, 40.1785714285714, 45.7589285714286, 46.875, 34.8214285714286, 32.8125, 35.9375, 11.3839285714286, 28.5714285714286, 16.7410714285714, 24.3303571428571, 33.0357142857143, 27.6785714285714, 50.8928571428571, 61.6071428571429, 20.5357142857143, 53.3482142857143, 10.9375, 43.0803571428571, 41.0714285714286, 37.7232142857143, 60.2678571428571, 46.875, 3.34821428571429, 19.8660714285714, 17.1875, 13.1696428571429, 11.6071428571429, 2.67857142857143, 28.125, 1.5625, 22.0982142857143, 36.6071428571429
Qiqzn, 4.6875, 22.3214285714286, 42.4107142857143, 6.69642857142857, 35.2678571428571, 34.1517857142857, 20.5357142857143, 13.6160714285714, 2.23214285714286, 17.8571428571429, 13.3928571428571, 11.4955357142857, 0.446428571428571, 13.6160714285714, 9.375, 3.57142857142857, 0.446428571428571, 0, 4.57589285714286, 12.0535714285714, 9.82142857142857, 25.6696428571429, 24.7767857142857, 13.3928571428571, 14.2857142857143, 26.7857142857143, 18.3035714285714, 0, 23.6607142857143, 43.3035714285714, 23.6607142857143, 26.7857142857143, 5.35714285714286, 16.5178571428571, 34.8214285714286, 10.2678571428571, 17.4107142857143, 5.13392857142857, 1.78571428571429, 21.4285714285714, 20.9821428571429, 1.78571428571429, 16.5178571428571, 0, 5.58035714285714, 12.5, 14.2857142857143, 22.3214285714286, 6.25, 30.8035714285714, 12.0535714285714, 13.3928571428571, 6.69642857142857, 11.6071428571429, 8.92857142857143
Snwid, 16.6294642857143, 30.1339285714286, 33.0357142857143, 14.5089285714286, 23.8839285714286, 18.8616071428571, 54.6875, 41.1830357142857, 19.1964285714286, 18.75, 22.4330357142857, 37.0535714285714, 27.1205357142857, 8.81696428571428, 21.7633928571429, 13.6160714285714, 30.46875, 4.57589285714286, 0, 43.6383928571429, 43.5267857142857, 36.8303571428571, 5.35714285714286, 38.8392857142857, 37.2767857142857, 28.125, 24.7767857142857, 33.4821428571429, 11.3839285714286, 14.7321428571429, 32.5892857142857, 30.5803571428571, 37.7232142857143, 14.5089285714286, 10.2678571428571, 39.2857142857143, 56.8080357142857, 38.3928571428571, 20.5357142857143, 23.6607142857143, 43.75, 14.5089285714286, 24.21875, 25, 34.0401785714286, 33.1473214285714, 48.6607142857143, 18.75, 46.6517857142857, 23.4375, 35.0446428571429, 31.4732142857143, 24.3303571428571, 44.1964285714286, 32.2544642857143
Sved, 13.28125, 29.9107142857143, 27.9017857142857, 9.70982142857143, 13.8392857142857, 20.7589285714286, 0, 43.5267857142857, 14.5089285714286, 13.3928571428571, 16.6294642857143, 3.125, 1.33928571428571, 10.4910714285714, 1.67410714285714, 22.5446428571429, 36.6071428571429, 12.0535714285714, 43.6383928571429, 0, 36.2723214285714, 14.2857142857143, 18.5267857142857, 50.5580357142857, 22.0982142857143, 22.9910714285714, 58.7053571428571, 31.6964285714286, 14.0625, 9.93303571428571, 18.0803571428571, 15.4017857142857, 26.7857142857143, 9.82142857142857, 36.6071428571429, 41.2946428571429, 37.7232142857143, 53.4598214285714, 34.7098214285714, 34.8214285714286, 37.7232142857143, 16.5178571428571, 14.9553571428571, 34.9330357142857, 37.0535714285714, 22.5446428571429, 38.8392857142857, 21.7633928571429, 23.2142857142857, 14.0625, 23.6607142857143, 35.7142857142857, 8.48214285714286, 22.7678571428571, 49.7767857142857
